Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Gary Sanchez,MIN,128,471,16,42,61,2,8.5%,28.9%,.172,.257,.205,.282,.377,.290,.321,89,-2.6,-8.3,5.7,1.3
Tyler O'Neill,STL,96,383,14,56,58,14,9.9%,26.9%,.165,.277,.228,.308,.392,.307,.331,101,1.4,1.9,-2.5,1.3
Ji-Man Choi,TBR,113,419,11,36,52,0,13.8%,29.4%,.154,.320,.233,.341,.388,.322,.337,116,-2.7,4.6,-5.7,1.3
C.J. Cron,COL,150,632,29,79,102,0,6.8%,25.9%,.210,.307,.257,.315,.468,.335,.321,101,0.5,1.5,-10.8,1.3
Evan Longoria,SFG,89,298,14,31,42,0,9.1%,27.9%,.207,.297,.244,.315,.451,.330,.324,115,-2.3,2.8,-0.8,1.3
Joey Wendle,MIA,101,371,3,27,32,12,4.0%,13.5%,.101,.293,.259,.297,.360,.289,.276,87,0.0,-5.6,5.0,1.2
Nicky Lopez,KCR,142,480,0,51,20,13,6.0%,13.1%,.046,.265,.227,.281,.273,.251,.273,57,5.2,-18.2,14.8,1.2
Alex Verdugo,BOS,152,644,11,75,74,1,6.5%,13.4%,.125,.309,.280,.328,.405,.319,.329,103,-1.1,0.8,-9.6,1.2
Harold Ramirez,TBR,120,435,6,46,58,3,4.4%,16.6%,.104,.350,.300,.343,.404,.327,.314,119,-2.3,7.0,-9.3,1.2
Edmundo Sosa,- - -,78,190,2,26,21,6,2.6%,26.3%,.142,.304,.227,.275,.369,.282,.286,82,2.2,-1.8,7.0,1.2
Leody Taveras,TEX,99,341,5,39,34,11,6.2%,25.8%,.105,.344,.261,.309,.366,.297,.270,93,2.2,-0.6,1.3,1.2
Michael Brantley,HOU,64,277,5,28,26,1,11.2%,10.8%,.128,.311,.288,.370,.416,.345,.374,127,-0.7,7.7,-5.0,1.2
Oneil Cruz,PIT,87,361,17,45,54,10,7.8%,34.9%,.218,.317,.233,.294,.450,.320,.304,106,2.0,4.5,-5.1,1.2
Miguel Rojas,MIA,140,507,6,34,36,9,5.1%,12.0%,.087,.258,.236,.283,.323,.268,.293,73,-4.0,-19.9,14.3,1.2
Victor Caratini,MIL,96,314,9,26,34,0,9.9%,21.3%,.143,.228,.199,.300,.342,.289,.309,84,-3.2,-8.9,9.5,1.2
Giancarlo Stanton,NYY,110,452,31,53,78,0,11.1%,30.3%,.251,.227,.211,.297,.462,.327,.351,115,-2.6,4.8,-8.2,1.2
Omar Narvaez,MIL,84,296,4,21,23,0,9.8%,19.3%,.099,.248,.206,.292,.305,.269,.268,71,-0.3,-10.3,11.3,1.1
Ozzie Albies,ATL,64,269,8,36,35,3,5.9%,17.5%,.162,.270,.247,.294,.409,.305,.297,93,1.5,-0.7,2.5,1.1
Jose Miranda,MIN,125,483,15,45,66,1,5.8%,18.8%,.158,.307,.268,.325,.426,.329,.317,117,-4.5,4.6,-9.4,1.1
Adam Frazier,SEA,156,602,3,61,42,11,7.6%,12.1%,.072,.268,.238,.301,.311,.274,.297,81,-0.2,-13.1,4.4,1.1
Trevor Larnach,MIN,51,180,5,22,18,0,10.0%,31.7%,.175,.320,.231,.306,.406,.309,.322,102,0.6,1.0,3.6,1.1
Lane Thomas,WSN,146,548,17,62,52,8,7.5%,24.1%,.163,.291,.241,.301,.404,.308,.286,96,-0.6,-3.0,-5.2,1.1
Kevin Kiermaier,TBR,63,221,7,28,22,6,6.3%,27.6%,.141,.290,.228,.281,.369,.286,.305,90,3.2,0.7,2.4,1.1
Patrick Wisdom,CHC,134,534,25,67,66,8,9.9%,34.3%,.220,.274,.207,.298,.426,.316,.295,104,0.6,3.0,-11.1,1.0
Carlos Santana,- - -,131,506,19,52,60,0,14.0%,17.4%,.174,.209,.202,.316,.376,.308,.352,102,1.0,2.0,-8.2,1.0
J.D. Martinez,BOS,139,596,16,76,62,0,8.7%,24.3%,.174,.345,.274,.341,.448,.343,.349,119,-7.3,5.8,-15.0,1.0
Wil Myers,SDP,77,286,7,29,41,2,7.3%,30.1%,.138,.357,.261,.315,.398,.311,.288,104,1.2,2.4,-2.3,1.0
Emmanuel Rivera,- - -,102,359,12,46,40,1,6.4%,23.1%,.176,.275,.233,.292,.409,.306,.310,95,-0.9,-2.7,0.7,1.0
Jake Fraley,CIN,68,247,12,33,28,4,10.5%,21.9%,.208,.289,.259,.344,.468,.352,.333,121,1.6,7.6,-6.3,1.0
Lourdes Gurriel Jr.,TOR,121,493,5,52,52,3,6.3%,16.8%,.108,.346,.291,.343,.400,.327,.321,114,-4.1,3.8,-9.8,1.0
Jose Iglesias,COL,118,467,3,48,47,2,3.6%,12.0%,.089,.326,.292,.328,.380,.312,.281,85,-3.3,-11.2,5.1,1.0
Garrett Mitchell,MIL,28,68,2,9,9,8,8.8%,41.2%,.148,.548,.311,.373,.459,.365,.266,136,2.2,5.1,2.2,1.0
Adam Duvall,ATL,86,315,12,39,36,0,6.7%,32.1%,.188,.278,.213,.276,.401,.295,.293,87,2.7,-2.2,1.1,1.0
Yoan Moncada,CHW,104,433,12,41,51,2,7.4%,26.3%,.141,.265,.212,.273,.353,.275,.289,76,1.3,-10.2,5.4,0.9
Tomas Nido,NYM,98,313,3,31,28,0,4.5%,24.3%,.085,.314,.239,.276,.324,.265,.287,74,-7.0,-16.3,14.8,0.9
J.D. Davis,- - -,115,365,12,46,35,1,10.7%,33.4%,.170,.360,.248,.340,.418,.333,.353,119,-3.1,5.1,-8.5,0.9
David Villar,SFG,52,181,9,21,24,0,9.9%,32.0%,.224,.300,.231,.331,.455,.344,.285,124,-0.3,4.8,-2.0,0.9
Rodolfo Castro,PIT,71,278,11,25,27,5,7.9%,26.6%,.194,.284,.233,.299,.427,.315,.280,103,0.3,1.1,-1.7,0.9
Ryan Jeffers,MIN,67,236,7,25,27,0,9.7%,26.3%,.156,.259,.208,.285,.363,.287,.315,87,-1.3,-4.7,5.8,0.9
Eli White,TEX,47,117,3,16,10,12,9.4%,35.0%,.105,.290,.200,.274,.305,.260,.255,67,4.2,-0.2,5.1,0.9
Zach McKinstry,- - -,57,185,5,21,14,7,8.6%,28.1%,.163,.257,.199,.273,.361,.280,.288,79,3.9,-0.6,2.9,0.9
Brandon Lowe,TBR,65,266,8,31,25,1,10.2%,22.9%,.162,.263,.221,.308,.383,.306,.320,104,2.0,3.3,-3.2,0.9
Ramon Laureano,OAK,94,383,13,49,34,11,6.5%,27.2%,.165,.262,.211,.287,.376,.294,.307,96,3.0,1.2,-4.9,0.9
Nate Eaton,KCR,44,122,1,16,12,11,8.2%,24.6%,.123,.346,.264,.331,.387,.313,.297,101,3.1,3.2,1.2,0.9
Charles Leblanc,MIA,48,169,4,18,11,4,7.1%,31.4%,.141,.374,.263,.320,.404,.318,.285,107,1.4,2.8,-0.3,0.9
Trey Mancini,- - -,143,587,18,56,63,0,9.0%,23.0%,.152,.286,.239,.319,.391,.312,.327,104,-3.0,-0.5,-10.1,0.9
Jesus Sanchez,MIA,98,343,13,38,36,1,7.6%,26.8%,.188,.258,.214,.280,.403,.298,.298,93,-1.5,-4.1,0.7,0.9
Danny Mendick,CHW,31,106,3,22,15,1,6.6%,21.7%,.155,.352,.289,.343,.443,.344,.273,125,1.0,4.0,0.6,0.8
Anthony Rendon,LAA,47,193,5,15,24,2,11.9%,18.1%,.151,.258,.229,.326,.380,.314,.331,103,-0.2,0.4,1.4,0.8
Rowdy Tellez,MIL,153,599,35,67,89,2,10.4%,20.2%,.242,.215,.219,.306,.461,.327,.349,110,-6.6,0.7,-12.9,0.8
Riley Greene,DET,93,418,5,46,42,1,8.6%,28.7%,.109,.354,.253,.321,.362,.303,.316,98,-0.1,-1.1,-4.3,0.8
Keston Hiura,MIL,80,266,14,34,32,5,8.6%,41.7%,.222,.355,.226,.316,.449,.334,.317,115,0.7,5.3,-6.4,0.8
Mitch Haniger,SEA,57,247,11,31,34,0,8.1%,26.3%,.183,.293,.246,.308,.429,.319,.328,113,-0.9,2.7,-2.8,0.8
Ryan McKenna,BAL,105,172,2,23,11,2,6.4%,32.0%,.103,.350,.237,.294,.340,.279,.267,80,2.7,-1.1,3.3,0.8
Sean Bouchard,COL,27,97,3,9,11,0,21.6%,25.8%,.203,.404,.297,.454,.500,.417,.360,158,0.2,6.6,-2.2,0.8
Gunnar Henderson,BAL,34,132,4,12,18,1,12.1%,25.8%,.181,.333,.259,.348,.440,.343,.338,125,-0.2,3.6,-0.3,0.8
Nick Maton,PHI,35,85,5,13,17,0,11.8%,34.1%,.264,.325,.250,.341,.514,.364,.306,135,0.9,4.3,-0.1,0.7
Luke Maile,CLE,76,206,3,19,17,0,9.2%,26.2%,.105,.291,.221,.301,.326,.281,.263,81,-1.1,-5.4,5.9,0.7
Gabriel Moreno,TOR,25,73,1,10,7,0,5.5%,11.0%,.058,.350,.319,.356,.377,.326,.305,113,-0.3,0.8,3.8,0.7
Vaughn Grissom,ATL,41,156,5,24,18,5,7.1%,21.8%,.149,.350,.291,.353,.440,.345,.326,121,1.9,5.7,-4.1,0.7
Willi Castro,DET,112,392,8,47,31,9,3.8%,20.9%,.126,.288,.241,.284,.367,.285,.290,86,1.6,-4.7,-0.9,0.7
Livan Soto,LAA,18,59,1,9,9,1,3.4%,22.0%,.182,.500,.400,.414,.582,.424,.283,181,0.6,6.0,-1.1,0.7
Kyle Isbel,KCR,106,278,5,32,28,9,5.8%,27.0%,.129,.275,.211,.264,.340,.265,.266,67,-0.8,-11.1,8.9,0.7
Rafael Ortega,CHC,118,371,7,35,35,12,11.9%,19.9%,.117,.285,.241,.331,.358,.305,.307,96,-3.5,-5.2,-0.7,0.7
Mark Mathias,- - -,30,91,6,13,20,3,9.9%,33.0%,.259,.304,.247,.319,.506,.353,.298,132,1.1,4.4,-0.9,0.7
David Fletcher,LAA,61,228,2,20,17,1,3.1%,7.0%,.079,.268,.255,.288,.333,.275,.295,75,-1.5,-7.9,7.0,0.7
Tommy Pham,- - -,144,622,17,89,63,8,9.0%,26.8%,.137,.304,.236,.312,.374,.304,.311,89,1.9,-5.7,-8.5,0.7
Yonathan Daza,COL,113,408,2,56,34,0,6.4%,14.2%,.083,.347,.301,.349,.384,.323,.308,93,-0.1,-3.2,-4.2,0.7
Conner Capel,- - -,22,59,3,7,11,1,8.5%,16.9%,.212,.317,.308,.356,.519,.371,.336,149,-0.3,3.0,1.5,0.7
Aristides Aquino,CIN,80,276,10,24,30,2,6.2%,36.6%,.166,.277,.197,.246,.363,.267,.243,63,1.6,-10.4,7.4,0.7
Meibrys Viloria,TEX,26,75,2,10,5,0,14.7%,38.7%,.111,.242,.159,.280,.270,.256,.243,63,1.6,-1.5,5.4,0.7
Orlando Arcia,ATL,68,234,9,25,30,0,9.0%,21.8%,.172,.278,.244,.316,.416,.321,.329,104,-0.1,1.0,-2.6,0.7
Alex Call,- - -,47,131,5,18,13,3,11.5%,22.9%,.175,.278,.237,.336,.412,.332,.281,113,0.3,2.2,-0.4,0.6
Joey Bart,SFG,97,291,11,34,25,2,8.9%,38.5%,.149,.326,.215,.296,.364,.294,.296,90,-1.5,-4.8,1.0,0.6
Geraldo Perdomo,ARI,148,500,5,58,40,9,10.0%,20.6%,.067,.243,.195,.285,.262,.253,.269,58,5.4,-18.7,7.8,0.6
Aledmys Diaz,HOU,92,327,12,35,38,1,5.5%,16.2%,.161,.256,.243,.287,.403,.301,.308,96,-3.8,-5.3,0.7,0.6
Kris Bryant,COL,42,181,5,28,14,0,9.4%,14.9%,.169,.338,.306,.376,.475,.370,.344,125,-0.6,4.7,-5.0,0.6
Bryan De La Cruz,MIA,115,355,13,38,43,4,5.4%,25.4%,.179,.304,.252,.294,.432,.313,.355,104,-1.2,0.4,-6.6,0.6
Owen Miller,CLE,130,472,6,53,51,2,6.8%,19.7%,.108,.290,.243,.301,.351,.287,.291,85,1.0,-6.9,-2.4,0.6
Joey Gallo,- - -,126,410,19,48,47,3,13.7%,39.8%,.197,.219,.160,.280,.357,.286,.295,85,0.5,-6.3,-1.3,0.6
Mike Brosseau,MIL,70,160,6,15,23,2,8.8%,30.0%,.163,.345,.255,.344,.418,.338,.300,118,0.8,4.2,-3.9,0.6
Yan Gomes,CHC,86,293,8,23,31,2,2.7%,16.0%,.130,.252,.235,.260,.365,.271,.287,73,-2.0,-11.2,7.0,0.6
Jonathan Davis,MIL,37,91,0,9,4,7,15.4%,28.6%,.013,.340,.224,.344,.237,.278,.284,77,1.7,-0.7,3.3,0.6
Garrett Stubbs,PHI,50,121,5,19,16,2,11.6%,24.8%,.198,.324,.264,.350,.462,.355,.275,128,1.5,5.5,-4.0,0.6
Jose Azocar,SDP,98,216,0,24,10,5,5.6%,20.4%,.074,.327,.257,.298,.332,.278,.277,81,-1.6,-6.3,4.6,0.6
Alek Thomas,ARI,113,411,8,45,39,4,5.4%,18.0%,.113,.263,.231,.275,.344,.272,.277,71,1.8,-11.8,3.5,0.6
Tyler Heineman,- - -,62,174,0,16,9,1,4.6%,9.8%,.051,.243,.217,.276,.268,.248,.273,57,-1.1,-9.8,9.4,0.6
Stuart Fairchild,- - -,46,110,5,14,6,0,7.3%,30.9%,.216,.328,.247,.336,.464,.350,.317,122,-1.2,1.4,0.3,0.6
T.J. Friedl,CIN,72,258,8,33,25,7,7.8%,15.5%,.196,.251,.240,.314,.436,.323,.283,101,0.9,1.3,-4.5,0.6
Jorge Soler,MIA,72,306,13,32,34,0,10.1%,29.4%,.193,.256,.207,.295,.400,.305,.322,98,-0.8,-1.4,-3.5,0.6
Michael Massey,KCR,52,194,4,16,17,3,4.6%,23.7%,.133,.304,.243,.307,.376,.302,.332,93,1.4,-0.2,-0.6,0.6
Roberto Perez,PIT,21,69,2,8,8,0,13.0%,36.2%,.133,.364,.233,.333,.367,.315,.308,102,-0.3,-0.1,3.2,0.6
Nick Allen,OAK,100,326,4,31,19,3,5.8%,19.6%,.084,.250,.207,.256,.291,.245,.238,61,0.5,-13.8,8.6,0.5
Kerry Carpenter,DET,31,113,6,16,10,0,5.3%,28.3%,.233,.303,.252,.310,.485,.342,.294,126,-0.1,3.1,-1.7,0.5
Nolan Gorman,STL,89,313,14,44,35,1,8.9%,32.9%,.194,.301,.226,.300,.420,.316,.341,107,-0.1,2.4,-8.0,0.5
Odubel Herrera,PHI,62,197,5,23,21,6,5.6%,21.3%,.141,.281,.238,.279,.378,.287,.272,82,0.8,-3.3,1.6,0.5
Martin Maldonado,HOU,113,379,15,40,45,0,5.8%,30.6%,.166,.228,.186,.248,.352,.264,.253,70,-3.9,-16.6,9.4,0.5
Salvador Perez,KCR,114,473,23,48,76,0,3.8%,23.0%,.211,.285,.254,.292,.465,.324,.326,108,-3.2,1.4,-11.6,0.5
Tom Murphy,SEA,14,42,1,9,1,0,19.0%,31.0%,.152,.474,.303,.439,.455,.397,.420,168,-0.5,2.8,0.7,0.5
Sam Huff,TEX,44,132,4,9,10,1,8.3%,31.8%,.132,.333,.240,.303,.372,.296,.294,92,0.4,-0.8,1.4,0.5
Stone Garrett,ARI,27,84,4,13,10,3,3.6%,32.1%,.263,.370,.276,.309,.539,.360,.265,131,-0.1,3.0,-1.1,0.5
David Bote,CHC,41,127,4,15,12,1,4.7%,35.4%,.172,.382,.259,.315,.431,.325,.289,110,-0.2,1.3,-0.8,0.5
James Outman,LAD,4,16,1,6,3,0,12.5%,43.8%,.385,1.000,.462,.563,.846,.584,.319,288,0.6,4.1,0.1,0.5
Donovan Solano,CIN,80,304,4,22,24,0,6.3%,20.1%,.101,.349,.284,.339,.385,.319,.315,98,-2.0,-2.6,-2.9,0.5
Jorge Alfaro,SDP,82,274,7,25,40,1,4.0%,35.8%,.137,.364,.246,.285,.383,.291,.295,90,0.0,-3.2,-1.4,0.5
Corey Dickerson,STL,97,297,6,28,36,0,4.0%,16.2%,.132,.301,.267,.300,.399,.303,.292,98,-0.4,-1.2,-4.2,0.5
Jake Cave,MIN,54,177,5,17,20,2,6.2%,27.7%,.171,.268,.213,.260,.384,.278,.285,81,0.9,-3.0,1.8,0.5
Brian Serven,COL,62,205,6,19,16,0,6.3%,21.5%,.128,.232,.203,.261,.332,.263,.254,52,-0.9,-12.3,9.9,0.5
Royce Lewis,MIN,12,41,2,5,5,0,2.4%,12.2%,.250,.303,.300,.317,.550,.370,.319,146,0.2,2.3,0.8,0.5
Jason Vosler,SFG,36,111,4,14,12,1,9.0%,26.1%,.204,.333,.265,.342,.469,.349,.312,127,-0.3,3.2,-2.6,0.5
Jake Marisnick,PIT,31,82,2,9,6,2,4.9%,29.3%,.156,.314,.234,.272,.390,.283,.270,80,-0.5,-2.3,3.9,0.5
Carson Kelly,ARI,104,354,7,40,35,2,8.2%,20.1%,.123,.247,.211,.282,.334,.275,.288,73,-0.4,-11.4,3.7,0.4
Brian Anderson,MIA,98,383,8,43,28,1,9.7%,26.4%,.124,.291,.222,.311,.346,.293,.309,90,-0.1,-4.5,-4.2,0.4
Victor Robles,WSN,132,407,6,42,33,15,4.2%,25.6%,.087,.292,.224,.273,.311,.260,.244,64,2.8,-14.3,4.8,0.4
Cesar Hernandez,WSN,147,617,1,64,34,10,7.3%,18.5%,.070,.309,.248,.311,.318,.283,.290,79,-0.8,-15.9,-0.8,0.4
Curt Casali,- - -,57,176,5,20,17,0,13.6%,28.4%,.128,.263,.203,.318,.331,.295,.289,92,0.1,-1.5,-0.3,0.4
Jesse Winker,SEA,136,547,14,51,53,0,15.4%,18.8%,.125,.251,.219,.344,.344,.313,.345,108,-4.3,1.0,-14.4,0.4
Oswald Peraza,NYY,18,57,1,8,2,2,10.5%,15.8%,.122,.359,.306,.404,.429,.371,.343,146,-0.7,2.3,-0.1,0.4
A.J. Pollock,CHW,138,527,14,61,56,3,6.1%,18.6%,.143,.278,.245,.292,.389,.297,.317,92,-1.5,-6.0,-6.8,0.4
Enrique Hernandez,BOS,93,402,6,48,45,0,8.5%,17.7%,.116,.257,.222,.291,.338,.280,.296,75,-0.7,-12.0,3.1,0.4
Darick Hall,PHI,42,142,9,19,16,0,3.5%,31.0%,.272,.301,.250,.282,.522,.343,.312,120,-0.5,2.8,-3.8,0.4
Johan Camargo,PHI,52,166,3,8,15,0,7.8%,22.3%,.079,.295,.237,.297,.316,.276,.267,74,0.6,-4.3,2.5,0.4
Jonathan India,CIN,103,431,10,48,41,3,7.2%,21.8%,.130,.305,.249,.327,.378,.314,.301,95,-1.0,-3.5,-7.2,0.4
Rougned Odor,BAL,135,472,13,49,53,6,6.8%,23.1%,.150,.244,.207,.275,.357,.278,.277,80,1.4,-9.4,-1.9,0.4
Austin Wynns,SFG,66,177,3,14,21,0,5.6%,21.5%,.099,.320,.259,.313,.358,.298,.267,92,-2.5,-4.0,1.8,0.4
Alan Trejo,COL,35,125,4,15,17,1,4.0%,24.8%,.153,.337,.271,.312,.424,.321,.291,92,0.1,-1.0,0.5,0.4
Matt Reynolds,- - -,93,272,3,31,23,5,9.6%,28.7%,.086,.348,.246,.320,.332,.293,.272,81,0.3,-5.8,0.3,0.4
Taylor Trammell,SEA,43,117,4,15,10,2,11.1%,28.2%,.206,.242,.196,.284,.402,.300,.292,99,-0.5,-0.6,0.5,0.4
James McCann,NYM,61,191,3,19,18,3,5.8%,24.1%,.086,.244,.195,.257,.282,.243,.311,59,0.3,-8.7,5.8,0.4
Drew Waters,KCR,32,109,5,14,18,0,11.0%,36.7%,.240,.353,.240,.324,.479,.347,.293,125,-0.2,2.9,-2.8,0.4
Bubba Thompson,TEX,55,181,1,18,9,18,3.9%,30.9%,.047,.389,.265,.302,.312,.274,.203,77,3.6,-1.2,-1.1,0.4
Nick Ahmed,ARI,17,54,3,7,7,0,3.7%,27.8%,.212,.265,.231,.259,.442,.302,.227,92,0.1,-0.4,2.0,0.4
Albert Almora Jr.,CIN,64,235,5,26,29,3,7.2%,19.6%,.126,.261,.223,.282,.349,.279,.270,71,-3.0,-10.9,6.3,0.4
Will Brennan,CLE,11,45,1,6,8,2,4.4%,8.9%,.143,.378,.357,.400,.500,.385,.324,155,0.4,3.2,-1.4,0.3
Luke Williams,- - -,79,136,1,21,6,11,6.6%,32.4%,.079,.354,.236,.287,.315,.265,.233,71,1.1,-3.5,2.2,0.3
Triston Casas,BOS,27,95,5,11,12,1,20.0%,24.2%,.211,.208,.197,.358,.408,.344,.325,120,-1.1,1.0,-0.8,0.3
Edward Olivares,KCR,53,174,4,24,15,2,5.7%,20.7%,.124,.344,.286,.333,.410,.326,.339,110,0.5,2.5,-4.8,0.3
Tyler Naquin,- - -,105,334,11,47,46,4,5.7%,27.8%,.194,.291,.229,.282,.423,.303,.317,93,2.3,-0.5,-7.7,0.3
Luis Gonzalez,SFG,98,350,4,31,36,10,8.6%,21.4%,.106,.316,.254,.323,.360,.302,.268,95,0.6,-1.3,-7.4,0.3
Mitch Garver,TEX,54,215,10,23,24,1,10.7%,24.7%,.197,.228,.207,.298,.404,.308,.319,101,0.4,0.5,-4.4,0.3
Jake Meyers,HOU,52,160,1,13,15,2,4.4%,33.8%,.087,.344,.227,.269,.313,.258,.251,65,0.6,-5.7,3.6,0.3
Andrew McCutchen,MIL,134,580,17,66,69,8,9.8%,21.4%,.148,.278,.237,.316,.384,.309,.325,98,-4.1,-5.3,-11.3,0.3
Dalton Guthrie,PHI,14,28,1,3,5,1,21.4%,25.0%,.143,.462,.333,.500,.476,.437,.363,184,0.2,3.0,-1.0,0.3
Andrew Velazquez,LAA,125,349,9,37,28,17,4.3%,34.1%,.109,.274,.196,.236,.304,.239,.246,50,4.6,-15.1,6.9,0.3
Eric Hosmer,- - -,104,419,8,38,44,0,8.8%,15.3%,.113,.304,.268,.334,.382,.313,.311,104,-5.1,-3.0,-8.2,0.3
Roman Quinn,- - -,44,87,0,15,7,4,8.0%,41.4%,.089,.395,.215,.287,.304,.266,.244,73,0.3,-2.5,2.4,0.3
Josh Lowe,TBR,52,198,2,24,13,3,7.6%,33.3%,.122,.336,.221,.284,.343,.276,.272,83,2.1,-1.7,-2.0,0.3
Raimel Tapia,TOR,128,433,7,47,52,8,3.7%,18.7%,.114,.315,.265,.292,.380,.293,.286,90,2.0,-2.7,-8.6,0.3
Jake Burger,CHW,51,183,8,20,26,0,5.5%,30.6%,.208,.324,.250,.302,.458,.327,.318,113,-1.0,1.6,-5.0,0.3
Ji Hwan Bae,PIT,10,37,0,5,6,3,5.4%,16.2%,.091,.407,.333,.405,.424,.370,.273,139,1.0,2.6,-1.6,0.2
LaMonte Wade Jr.,SFG,77,251,8,29,26,1,10.4%,20.3%,.152,.233,.207,.305,.359,.298,.321,93,0.8,-1.4,-4.8,0.2
Joe Dunand,MIA,3,11,1,2,1,0,0.0%,27.3%,.400,.333,.300,.364,.700,.449,.205,197,0.1,1.3,0.5,0.2
Luis Barrera,OAK,32,85,1,3,7,3,7.1%,20.0%,.104,.283,.234,.294,.338,.280,.261,86,-0.8,-2.1,1.6,0.2
Greg Allen,PIT,46,134,2,17,8,8,7.5%,31.3%,.085,.267,.186,.260,.271,.242,.229,52,2.7,-4.8,2.4,0.2
Ryan Kreidler,DET,26,84,1,8,6,0,7.1%,26.2%,.055,.231,.178,.244,.233,.218,.273,38,0.7,-5.1,4.5,0.2
Esteban Quiroz,CHC,14,47,0,3,3,1,8.5%,19.1%,.000,.355,.275,.370,.275,.303,.290,95,0.2,-0.1,0.5,0.2
Derek Hill,DET,31,92,1,8,3,3,5.4%,30.4%,.060,.327,.229,.270,.289,.249,.230,60,0.8,-3.3,2.4,0.2
Chadwick Tromp,ATL,1,4,0,0,3,0,0.0%,0.0%,.500,.750,.750,.750,1.250,.852,.503,467,0.0,1.7,0.0,0.2
Jason Delay,PIT,57,167,1,17,11,0,5.4%,29.9%,.058,.308,.213,.265,.271,.243,.230,53,-1.8,-11.0,7.3,0.2
Mauricio Dubon,- - -,104,265,5,31,24,2,4.9%,11.3%,.099,.221,.214,.252,.313,.248,.272,58,-0.8,-13.2,6.6,0.2
Skye Bolt,OAK,42,116,4,10,13,5,6.0%,25.9%,.132,.233,.198,.259,.330,.261,.258,73,1.1,-2.5,0.6,0.2
Elehuris Montero,COL,53,185,6,21,20,0,4.3%,32.4%,.199,.318,.233,.270,.432,.303,.260,79,0.3,-4.2,-0.2,0.2
Francisco Mejia,TBR,93,299,6,32,31,0,2.3%,21.7%,.138,.292,.242,.264,.381,.279,.262,85,-2.4,-7.4,-0.3,0.2
Christian Arroyo,BOS,87,300,6,32,36,5,4.3%,16.3%,.129,.326,.286,.322,.414,.319,.330,102,-3.2,-2.4,-5.3,0.2
Jordan Luplow,ARI,83,234,11,26,28,5,10.7%,25.6%,.185,.185,.176,.274,.361,.281,.288,78,0.3,-5.8,-0.3,0.2
Luke Voit,- - -,135,568,22,55,69,1,9.7%,31.5%,.176,.298,.226,.308,.402,.311,.322,102,-6.2,-5.0,-12.4,0.2
Dermis Garcia,OAK,39,125,5,13,20,0,6.4%,44.0%,.181,.339,.207,.264,.388,.285,.244,90,-0.2,-1.7,-0.6,0.2
David Hensley,HOU,16,34,1,7,5,0,14.7%,17.6%,.241,.409,.345,.441,.586,.440,.349,194,-1.1,2.4,-1.8,0.2
Nick Madrigal,CHC,59,228,0,19,7,3,6.1%,11.8%,.033,.286,.249,.305,.282,.267,.283,70,-0.4,-8.2,2.2,0.2
Ben DeLuzio,STL,22,25,0,3,0,0,12.0%,20.0%,.050,.200,.150,.292,.200,.242,.330,56,0.1,-1.2,2.0,0.2
Kyle Stowers,BAL,34,98,3,11,11,0,5.1%,29.6%,.165,.339,.253,.306,.418,.316,.335,107,-0.9,-0.2,-1.3,0.2
Austin Nola,SDP,110,397,4,40,40,2,8.6%,15.1%,.078,.284,.251,.321,.329,.290,.305,89,-0.8,-5.9,-5.8,0.2
Kyle Garlick,MIN,66,162,9,23,18,0,4.9%,29.6%,.200,.277,.233,.284,.433,.311,.305,104,1.1,1.8,-5.4,0.2
Nolan Jones,CLE,28,94,2,10,13,0,8.5%,33.0%,.128,.358,.244,.309,.372,.297,.325,93,-0.8,-1.6,0.2,0.2
Gavin Sheets,CHW,124,410,15,34,53,0,6.6%,21.0%,.170,.272,.241,.295,.411,.308,.283,100,-2.6,-2.7,-8.8,0.2
Monte Harrison,LAA,9,14,1,5,3,1,14.3%,57.1%,.273,.500,.182,.357,.455,.361,.282,136,0.5,1.0,0.0,0.2
Nomar Mazara,SDP,55,171,2,16,18,0,5.8%,23.4%,.088,.342,.264,.316,.352,.297,.294,94,0.0,-1.1,-3.1,0.2
P.J. Higgins,CHC,74,229,6,23,30,0,9.6%,25.3%,.154,.290,.229,.310,.383,.306,.264,97,-1.2,-2.0,-4.3,0.2
Otto Lopez,TOR,8,10,0,0,3,0,10.0%,10.0%,.000,.750,.667,.700,.667,.599,.302,307,-0.2,2.1,-1.0,0.1
Yadier Molina,STL,80,270,5,19,24,2,1.9%,14.8%,.088,.234,.214,.233,.302,.235,.254,51,-4.4,-19.7,12.0,0.1
Charlie Blackmon,COL,135,577,16,60,78,4,5.5%,18.9%,.155,.304,.264,.314,.419,.317,.301,89,1.4,-5.9,-12.2,0.1
Jaylin Davis,BOS,12,27,0,4,2,0,11.1%,40.7%,.042,.615,.333,.407,.375,.352,.272,126,0.1,0.9,-0.4,0.1
Shea Langeliers,OAK,40,153,6,14,22,0,5.9%,34.6%,.211,.294,.218,.261,.430,.296,.261,97,-0.3,-0.8,-2.8,0.1
Brett Phillips,- - -,83,225,5,22,15,7,7.1%,41.8%,.104,.233,.144,.217,.249,.213,.220,38,3.8,-11.9,5.8,0.1
Yu Chang,- - -,69,190,4,19,15,0,8.4%,31.1%,.107,.290,.208,.289,.315,.273,.290,78,-1.5,-6.4,1.4,0.1
